BIRD debian/2.0.7-2-x ready.
bfd1:
IP address                Interface  State      Since         Interval  Timeout
91.210.16.151             ens19      Down       2019-11-19 02:19:59    1.010    0.000
91.210.16.41              bond0.10   Up         2019-11-25 07:05:20    1.000    15.000
91.210.16.152             bond0.10   Up         2019-11-19 02:19:05    1.000    5.000
91.210.16.49              bond0.10   Up         2019-11-19 02:15:11    1.000    5.000
91.210.16.18              bond0.10   Up         2019-11-20 10:54:24    1.000    5.000
2001:7f8:14::28:1         bond0.10   Up         2019-11-25 07:05:21    1.000    5.000
91.210.16.87              bond0.10   Up         2019-11-19 09:03:18    1.000    5.000
2001:7f8:14::41:2         bond0.10   Up         2019-11-19 02:20:02    1.000    5.000
2001:7f8:14::83:1         bond0.10   Up         2019-11-19 02:15:11    9.000    5.000
2001:7f8:14::54:1         bond0.10   Up         2019-11-20 10:54:24    12.000    5.000
2001:7f8:14::54:2         bond0.10   Up         2019-11-12 13:07:16    1.000    5.000
91.210.16.212             bond0.10   Up         2019-11-16 18:02:34    1.000    5.500
91.210.16.245             bond0.10   Up         2019-11-12 13:10:25    1.000    5.000
2001:7f8:14::83:2         bond0.10   Up         2019-11-19 02:15:12    1.000    5.000
2001:7f8:14::12:1         bond0.10   Up         2019-12-16 11:38:18    12.100    5.000
91.210.16.42              bond0.10   Up         2019-11-19 01:13:40    31.000    5.000
2001:7f8:14::2            bond0.10   Up         2019-11-12 13:10:56    1.000    5.000
2001:7f8:14::a0:1         bond0.10   Up         2019-11-16 18:00:26    1.000    5.000
91.210.16.246             bond0.10   Up         2019-11-21 14:02:12    1.000    5.000
2001:7f8:14::28:2         bond0.10   Up         2019-11-19 01:13:39    1.000    5.000
2001:7f8:14::16:1         bond0.10   Up         2019-12-16 11:38:15    1.000    5.000
2001:7f8:14::41:1         bond0.10   Up         2019-11-19 02:19:55    1.000    5.000
91.210.16.48              bond0.10   Up         2019-11-19 02:15:11    1.000    5.000
2001:7f8:14::16:2         bond0.10   Up         2019-11-19 09:03:18    1.000    5.000
91.210.16.73              bond0.10   Up         2019-12-16 11:38:14    1.000    5.000
91.210.16.17              bond0.10   Up         2019-11-12 13:07:17    1.000    5.000
2001:7f8:14::4            bond0.10   Up         2019-11-12 13:10:17    1.000    5.000
91.210.16.88              bond0.10   Up         2019-12-16 11:38:22    1.000    5.000
91.210.16.74              bond0.10   Up         2019-11-19 02:13:48    1.000    5.000
2001:7f8:14::12:2         bond0.10   Up         2019-11-19 02:12:48    1.000    5.000
